Year,Team,PTS,FGA,3PA,3P%,AST,TOV,3P_Rate,Pace,ORtg,Era
1995,MIL,99.3,80.3,16.5,0.366,21.2,17.0,0.20547945205479454,109.39999999999999,0.9076782449725778,1990s
1995,IND,99.2,76.2,12.0,0.38,22.9,16.3,0.15748031496062992,105.304,0.9420344906176403,1990s
1995,NYK,98.2,78.0,17.6,0.368,25.1,15.9,0.22564102564102567,105.25200000000001,0.9329988978831756,1990s
1995,SAC,98.2,78.8,12.6,0.346,22.2,17.7,0.1598984771573604,108.952,0.9013143402599311,1990s
1995,DET,98.2,80.9,17.0,0.354,22.8,16.1,0.21013597033374534,107.428,0.914100606918122,1990s
1995,BKN,98.1,82.2,15.8,0.319,23.0,15.9,0.19221411192214113,110.46400000000001,0.8880721320973347,1990s
1995,LAC,96.7,84.0,12.8,0.315,22.0,16.3,0.1523809523809524,111.476,0.8674512899637591,1990s
1995,ATL,96.6,81.5,19.3,0.341,21.4,14.9,0.23680981595092027,106.872,0.9038850213339321,1990s
1995,PHI,95.4,80.2,11.4,0.379,19.1,16.5,0.14214463840399003,108.096,0.8825488454706928,1990s
1995,MIN,94.2,75.8,12.4,0.313,21.7,17.1,0.16358839050131926,105.52799999999999,0.8926540823288607,1990s
1995,CLE,90.5,76.3,12.6,0.385,20.4,14.3,0.1651376146788991,101.24799999999999,0.8938448166877371,1990s
1996,CHI,105.2,84.0,16.5,0.403,24.8,14.3,0.19642857142857142,109.036,0.9648189588759676,1990s
1996,OKC,104.5,78.1,19.5,0.364,24.4,17.6,0.24967989756722153,108.72399999999999,0.9611493322541482,1990s
1996,ORL,104.5,81.0,20.1,0.378,25.4,14.1,0.24814814814814817,107.068,0.9760152426495312,1990s
1996,PHX,104.3,81.4,12.0,0.332,24.4,14.7,0.14742014742014742,109.34400000000001,0.9538703541117939,1990s
1996,BOS,103.6,84.7,17.7,0.371,21.9,15.9,0.2089728453364817,112.876,0.9178213260569119,1990s
1996,SAS,103.4,80.5,16.1,0.392,24.9,14.6,0.2,107.244,0.9641565029279028,1990s
1996,LAL,102.9,81.8,16.6,0.351,25.4,14.2,0.20293398533007337,107.0,0.9616822429906543,1990s
1996,CHA,102.8,80.7,18.5,0.384,23.3,15.1,0.2292441140024783,107.152,0.9593847991638047,1990s
1996,WAS,102.5,80.7,14.8,0.407,22.1,16.2,0.18339529120198264,108.03200000000001,0.9487929502369667,1990s
1996,UTA,102.5,78.3,12.4,0.372,26.1,14.8,0.1583652618135377,105.464,0.9718956231510278,1990s
1996,HOU,102.5,81.0,21.5,0.362,24.2,15.2,0.2654320987654321,107.508,0.9534174200989695,1990s
1996,DAL,102.5,90.6,24.9,0.36,23.3,15.5,0.27483443708609273,116.704,0.8782903756512203,1990s
1996,GSW,101.6,81.7,14.6,0.373,23.0,16.4,0.17870257037943696,110.64000000000001,0.9182935647143888,1990s
1996,SAC,99.5,79.2,14.6,0.387,22.3,17.6,0.18434343434343434,109.73599999999999,0.9067215863527011,1990s
1996,LAC,99.4,80.7,16.8,0.37,20.4,16.5,0.20817843866171004,107.848,0.9216675320821898,1990s
1996,IND,99.3,75.7,11.9,0.373,23.4,16.3,0.1571994715984148,104.98,0.9458944560868736,1990s
1996,POR,99.3,81.6,16.6,0.353,21.5,16.8,0.20343137254901963,110.85199999999999,0.8957889799011295,1990s
1996,ATL,98.3,81.3,19.5,0.355,19.6,15.0,0.23985239852398524,107.08,0.9180052297347777,1990s
1996,MIN,97.9,79.0,10.5,0.326,22.8,17.4,0.13291139240506328,108.80799999999999,0.8997500183810015,1990s
1996,DEN,97.7,81.2,14.0,0.346,22.6,15.4,0.17241379310344826,108.26,0.9024570478477738,1990s
1996,TOR,97.5,80.5,14.2,0.354,23.5,18.8,0.1763975155279503,109.77199999999999,0.8882046423495974,1990s
1996,NYK,97.2,77.8,15.7,0.377,22.2,15.5,0.20179948586118251,103.77199999999999,0.9366688509424509,1990s
1996,MIA,96.5,77.4,17.8,0.379,21.4,17.0,0.22997416020671835,106.14800000000001,0.9091080378339675,1990s
1996,MIL,95.6,79.1,12.9,0.338,21.4,15.8,0.16308470290771176,105.15199999999999,0.9091600730371273,1990s
